total_sqft,bath,balcony,site_location,bhk,age,parking,floor_level,furnishing,distance,property_type,security
959,3,1,Uruli Devachi,4,19,No,Ground,Furnished,7.7,Independent House,No
3885,1,2,Parvati Darshan,4,24,No,Top,Unfurnished,1.9,Apartment,No
521,4,1,Pirangut,3,17,No,Top,Unfurnished,4.3,Apartment,No
2800,3,1,Law College Road,4,9,No,Ground,Semi-Furnished,5.1,Apartment,Yes
1247,3,1,Mahatma Gandhi Road,2,13,Yes,Middle,Semi-Furnished,3.9,Apartment,No
3404,1,2,Ghorpadi,2,1,No,Ground,Unfurnished,3.6,Villa,No
974,4,1,Dhayari Phata,1,2,Yes,Middle,Unfurnished,7.0,Apartment,Yes
1582,4,1,Wadgaon Sheri,1,13,Yes,Top,Unfurnished,2.6,Villa,No
3058,3,1,Senapati Bapat Road,3,24,No,Middle,Unfurnished,7.2,Villa,No
2547,1,1,Bhandarkar Road,2,9,No,Middle,Semi-Furnished,9.4,Villa,Yes
3247,2,1,Koregaon Park,2,7,No,Ground,Unfurnished,5.9,Apartment,Yes
1475,2,2,Sasson Road,2,16,Yes,Top,Semi-Furnished,6.3,Apartment,No
2306,4,1,Khadaki,3,19,Yes,Ground,Unfurnished,1.2,Villa,Yes
689,2,1,Lulla Nagar,2,7,Yes,Ground,Unfurnished,8.7,Villa,No
3505,4,1,Model colony,1,6,No,Top,Furnished,3.2,Apartment,No
3234,4,1,Lulla Nagar,3,18,Yes,Ground,Furnished,6.3,Independent House,Yes
3505,4,1,Pune Railway Station,1,19,Yes,Ground,Unfurnished,9.8,Independent House,No
1062,2,1,Dhankawadi,1,11,Yes,Middle,Semi-Furnished,6.2,Independent House,No
2399,4,1,Viman Nagar,3,29,No,Ground,Unfurnished,7.4,Apartment,No
1767,3,1,Ganeshkhind,4,12,Yes,Top,Furnished,4.7,Apartment,No
3379,1,1,Karve Nagar,4,29,Yes,Ground,Unfurnished,1.1,Villa,Yes
2028,1,1,Raviwar Peth,1,26,No,Middle,Furnished,8.1,Apartment,Yes
3702,4,2,Parvati Darshan,4,10,No,Ground,Unfurnished,0.8,Apartment,No
1146,1,2,Manik Bagh,2,13,No,Ground,Unfurnished,7.2,Apartment,No
2568,2,2,Fatima Nagar,3,12,Yes,Ground,Semi-Furnished,0.7,Villa,No
3388,2,2,Koregaon Park,1,21,Yes,Middle,Furnished,8.7,Villa,No
2714,1,1,Rasta Peth,2,10,Yes,Top,Furnished,2.0,Independent House,No
1797,2,2,Somwar Peth,4,20,No,Top,Furnished,5.4,Independent House,Yes
2935,1,2,Uruli Devachi,2,18,Yes,Middle,Semi-Furnished,6.2,Apartment,Yes
1100,1,1,Navi Peth,4,4,No,Middle,Unfurnished,4.8,Apartment,Yes
2863,1,2,Mukund Nagar,1,28,No,Ground,Semi-Furnished,3.7,Villa,No
2561,4,2,Market yard,2,24,Yes,Top,Unfurnished,4.9,Independent House,No
741,1,1,Nana Peth,3,5,Yes,Middle,Semi-Furnished,3.5,Independent House,No
2541,4,1,Narayangaon,1,5,Yes,Top,Semi-Furnished,4.7,Independent House,Yes
3324,1,1,Gokhale Nagar,2,29,No,Ground,Furnished,3.9,Apartment,No
3917,1,2,Wanowrie,2,28,No,Middle,Semi-Furnished,5.9,Apartment,Yes
3112,1,2,Dhole Patil Road,4,12,Yes,Top,Unfurnished,2.8,Apartment,No
3445,2,1,Salunke Vihar,1,26,No,Top,Semi-Furnished,9.9,Villa,No
1863,4,1,Swargate,1,3,Yes,Ground,Semi-Furnished,5.3,Independent House,No
2639,4,2,Ghorpadi,1,29,Yes,Middle,Unfurnished,2.3,Villa,No
1890,1,1,Katraj,1,8,Yes,Top,Furnished,5.0,Independent House,Yes
3503,1,2,Khadaki,4,22,No,Ground,Unfurnished,8.7,Apartment,No
1978,2,1,Parvati Darshan,3,2,No,Top,Unfurnished,0.7,Villa,No
3999,2,1,Gultekdi,1,18,Yes,Ground,Unfurnished,7.0,Villa,Yes
3056,2,2,Gokhale Nagar,4,9,Yes,Top,Semi-Furnished,5.7,Apartment,Yes
1275,4,1,Deccan Gymkhana,3,13,No,Top,Semi-Furnished,2.1,Independent House,Yes
534,4,1,Dapodi,3,7,Yes,Ground,Unfurnished,8.3,Independent House,No
2753,4,1,Karve Nagar,4,10,No,Middle,Unfurnished,4.0,Independent House,No
3652,1,2,Bund Garden Road,1,9,Yes,Ground,Furnished,3.3,Independent House,No
2455,4,1,Vadgaon Budruk,3,22,No,Middle,Semi-Furnished,8.4,Apartment,No
2085,3,1,Vishrant Wadi,1,15,Yes,Top,Semi-Furnished,6.6,Apartment,Yes
3959,3,1,Shaniwar Peth,1,5,No,Top,Semi-Furnished,9.0,Apartment,Yes
3573,2,1,Model colony,2,12,Yes,Ground,Semi-Furnished,6.5,Apartment,Yes
1521,4,1,Dhole Patil Road,1,1,No,Ground,Unfurnished,7.5,Villa,Yes
3961,3,1,Paud Road,2,12,No,Middle,Unfurnished,8.4,Villa,Yes
3113,2,2,Model colony,3,22,No,Middle,Furnished,1.0,Villa,No
1629,4,2,Dehu Road,4,6,No,Middle,Semi-Furnished,7.9,Apartment,No
2000,1,1,Mukund Nagar,2,19,Yes,Ground,Semi-Furnished,6.3,Independent House,No
1202,3,2,Kharadi,4,19,No,Top,Unfurnished,1.2,Villa,Yes
2949,1,2,Hingne Khurd,3,16,No,Ground,Furnished,5.3,Villa,Yes
3277,4,1,Alandi Road,1,19,Yes,Top,Unfurnished,1.3,Apartment,No
2079,3,2,Mahatma Gandhi Road,3,3,No,Ground,Semi-Furnished,7.5,Independent House,No
661,4,2,Tilak Road,4,23,Yes,Ground,Semi-Furnished,5.7,Independent House,No
701,1,2,Wanowrie,3,10,No,Middle,Furnished,9.6,Independent House,No
2481,3,2,Pune Railway Station,1,27,No,Top,Unfurnished,2.2,Apartment,No
1495,1,2,Kalyani Nagar,3,18,No,Ground,Semi-Furnished,6.3,Independent House,No
2817,4,2,Parvati Darshan,1,26,No,Ground,Semi-Furnished,2.5,Villa,Yes
1315,4,2,Lulla Nagar,2,13,No,Top,Furnished,6.3,Villa,No
3842,1,2,Alandi Road,4,26,No,Ground,Semi-Furnished,7.4,Villa,Yes
955,3,1,Wagholi,1,18,Yes,Top,Semi-Furnished,7.4,Apartment,No
1775,1,1,Dhayari Phata,1,3,Yes,Middle,Unfurnished,8.2,Independent House,Yes
1516,4,2,Mangalwar peth,3,26,No,Middle,Furnished,8.6,Apartment,Yes
2843,1,2,Chandan Nagar,2,28,No,Top,Furnished,1.2,Independent House,Yes
3267,4,1,Narayan Peth,1,23,Yes,Middle,Furnished,3.8,Apartment,No
837,1,2,Manik Bagh,2,3,Yes,Top,Unfurnished,7.0,Villa,No
1378,3,2,Kasba Peth,2,23,No,Ground,Furnished,5.2,Apartment,No
1576,3,1,Ganesh Peth,3,25,No,Ground,Semi-Furnished,2.3,Apartment,No
1291,1,1,Shivaji Nagar,1,27,No,Top,Furnished,5.8,Apartment,Yes
2764,1,1,Wakadewadi,3,26,No,Ground,Semi-Furnished,4.4,Villa,No
1263,3,2,Parvati Darshan,4,12,No,Middle,Furnished,4.2,Apartment,No
2735,4,2,Sahakar Nagar,4,27,No,Ground,Furnished,8.2,Apartment,No
879,3,1,Padmavati,1,20,Yes,Ground,Unfurnished,4.4,Villa,Yes
992,4,1,Khadki,2,7,No,Top,Furnished,0.8,Independent House,Yes
3612,1,2,Dapodi,1,25,No,Middle,Furnished,1.1,Apartment,No
1680,1,1,Nagar Road,1,24,Yes,Ground,Unfurnished,8.6,Villa,No
2562,4,2,Erandwane,4,8,Yes,Ground,Semi-Furnished,9.6,Apartment,No
564,1,2,Baner,4,9,Yes,Top,Furnished,7.0,Villa,No
3068,4,1,Kharadi,2,14,Yes,Top,Furnished,4.0,Independent House,Yes
1867,2,1,Mangalwar peth,2,5,No,Middle,Semi-Furnished,9.4,Independent House,No
1652,3,2,Rasta Peth,1,21,Yes,Ground,Unfurnished,6.8,Apartment,No
2527,2,1,Shaniwar Peth,3,19,Yes,Top,Furnished,8.5,Villa,Yes
3195,4,1,Hadapsar Industrial Estate,1,21,No,Top,Unfurnished,7.8,Independent House,No
1995,3,1,Kondhwa Budruk,2,16,Yes,Top,Semi-Furnished,4.1,Independent House,No
3634,4,1,Pirangut,3,24,Yes,Middle,Semi-Furnished,5.0,Villa,No
1662,3,2,Senapati Bapat Road,4,12,No,Top,Unfurnished,2.3,Apartment,Yes
2022,3,2,Senapati Bapat Road,2,21,No,Middle,Semi-Furnished,3.3,Independent House,Yes
3140,3,2,Chandan Nagar,2,4,No,Middle,Semi-Furnished,7.9,Independent House,No
891,3,2,Rasta Peth,3,8,No,Ground,Furnished,9.0,Independent House,No
2198,4,1,Dehu Road,2,7,No,Ground,Unfurnished,7.4,Apartment,Yes
918,3,1,Ambegaon Budruk,2,15,No,Middle,Furnished,4.9,Independent House,Yes
2836,3,2,Bhavani Peth,2,6,No,Ground,Unfurnished,1.3,Villa,Yes
878,2,2,Laxmi Road,2,5,Yes,Ground,Furnished,1.0,Apartment,No
2296,1,1,Shukrawar Peth,2,14,Yes,Top,Semi-Furnished,4.1,Independent House,Yes
2778,1,2,Bopodi,2,21,No,Ground,Unfurnished,4.9,Villa,Yes
3565,2,2,Pune Railway Station,2,13,Yes,Middle,Unfurnished,6.3,Villa,Yes
2588,2,1,Dhole Patil Road,2,10,No,Ground,Unfurnished,0.6,Apartment,No
3599,4,2,Guruwar peth,4,18,Yes,Top,Unfurnished,9.9,Villa,Yes
2682,4,1,Swargate,2,29,No,Middle,Semi-Furnished,4.0,Apartment,No
700,4,1,Alandi Road,4,4,Yes,Ground,Semi-Furnished,8.6,Apartment,No
2363,2,2,Manik Bagh,4,8,No,Middle,Semi-Furnished,5.6,Apartment,No
1279,2,1,Mundhawa,1,24,Yes,Ground,Furnished,1.7,Villa,No
3477,3,2,Pune Railway Station,1,11,No,Top,Semi-Furnished,8.1,Apartment,Yes
3604,4,1,Somwar Peth,4,17,Yes,Ground,Furnished,7.2,Apartment,No
3619,4,2,Deccan Gymkhana,4,18,Yes,Middle,Furnished,5.5,Villa,No
1002,4,2,Balaji Nagar,2,21,No,Middle,Semi-Furnished,5.4,Apartment,No
2954,1,2,Kondhwa,1,25,Yes,Middle,Semi-Furnished,1.3,Independent House,Yes
2251,3,1,Erandwane,3,26,Yes,Ground,Semi-Furnished,6.7,Villa,Yes
1304,4,1,Erandwane,1,11,Yes,Ground,Furnished,9.2,Villa,Yes
2646,4,2,Ganesh Peth,4,16,Yes,Ground,Unfurnished,1.4,Villa,Yes
3231,4,1,Satara Road,4,12,Yes,Top,Semi-Furnished,3.0,Independent House,No
2395,1,2,Baner,2,13,No,Top,Furnished,9.1,Apartment,No
3273,1,2,Shaniwar Peth,2,27,No,Top,Furnished,3.2,Villa,No
2070,2,1,Kharadi,1,16,Yes,Middle,Semi-Furnished,6.7,Villa,Yes
1460,3,2,Ganeshkhind,2,23,No,Middle,Furnished,5.6,Villa,Yes
3160,2,1,Ganesh Peth,3,26,Yes,Middle,Semi-Furnished,6.2,Independent House,Yes
1985,3,2,Shaniwar Peth,3,21,No,Middle,Furnished,4.4,Independent House,No
3190,1,1,Jangali Maharaj Road,2,1,Yes,Middle,Unfurnished,3.3,Independent House,No
1528,4,2,Market yard,3,16,Yes,Ground,Furnished,1.0,Apartment,No
3789,2,2,Padmavati,3,15,Yes,Middle,Semi-Furnished,7.6,Apartment,Yes
1002,4,1,Wagholi,1,6,Yes,Ground,Unfurnished,7.6,Independent House,Yes
3314,2,2,Mukund Nagar,3,12,No,Top,Semi-Furnished,6.9,Apartment,No
897,1,2,Prabhat Road,4,8,No,Top,Furnished,6.6,Independent House,Yes
1370,1,1,Narayan Peth,4,7,No,Top,Unfurnished,2.8,Apartment,No
3342,1,2,Ambegaon Budruk,1,2,Yes,Top,Unfurnished,0.7,Apartment,No
892,2,1,Market yard,2,12,No,Top,Furnished,8.2,Independent House,Yes
706,3,2,Shivaji Nagar,1,21,No,Middle,Unfurnished,5.2,Villa,No
1538,2,1,Vadgaon Budruk,2,14,Yes,Middle,Unfurnished,3.4,Villa,No
2381,3,2,Karve Nagar,2,16,Yes,Middle,Unfurnished,1.5,Apartment,No
3439,2,2,Shivaji Nagar,2,11,Yes,Top,Semi-Furnished,1.1,Apartment,No
1984,2,2,Senapati Bapat Road,2,20,No,Top,Semi-Furnished,3.8,Apartment,No
1363,1,1,Ghorpadi,2,9,No,Ground,Unfurnished,8.1,Apartment,Yes
3290,4,1,Ganesh Peth,1,10,Yes,Middle,Furnished,9.2,Apartment,No
3812,4,1,Hingne Khurd,2,17,No,Top,Furnished,9.0,Apartment,Yes
1063,3,1,Shaniwar Peth,3,12,Yes,Top,Semi-Furnished,9.2,Independent House,No
1520,4,2,Paud Road,3,6,No,Top,Furnished,9.1,Villa,Yes
595,2,2,Vadgaon Budruk,2,19,Yes,Ground,Unfurnished,5.5,Villa,Yes
2423,2,1,Ghorpadi,3,11,No,Top,Furnished,2.6,Independent House,Yes
2257,1,1,Hadapsar Industrial Estate,4,9,No,Ground,Semi-Furnished,8.1,Independent House,No
3032,1,1,Katraj,1,21,No,Ground,Semi-Furnished,2.5,Villa,Yes
3978,4,2,Katraj,1,29,Yes,Middle,Unfurnished,3.0,Villa,No
2778,3,1,Erandwane,2,6,Yes,Top,Semi-Furnished,2.7,Apartment,No
3296,4,1,Rasta Peth,2,27,Yes,Ground,Semi-Furnished,5.4,Villa,Yes
2178,4,2,Anandnagar,4,25,No,Top,Semi-Furnished,3.6,Apartment,Yes
3742,4,2,Mundhawa,2,25,Yes,Middle,Furnished,2.0,Apartment,No
1040,4,1,Guruwar peth,3,24,No,Middle,Semi-Furnished,4.8,Villa,No
1559,2,2,Gultekdi,4,25,Yes,Ground,Furnished,8.8,Apartment,No
3072,3,1,Sinhagad Road,3,16,Yes,Middle,Semi-Furnished,5.9,Apartment,Yes
1683,2,2,Khadki,1,20,No,Middle,Semi-Furnished,8.8,Independent House,No
2222,3,1,Baner,3,16,No,Middle,Furnished,2.4,Villa,No
3814,1,1,Alandi Road,1,6,Yes,Top,Furnished,2.1,Independent House,No
3657,4,1,Narayan Peth,3,5,Yes,Top,Unfurnished,6.0,Apartment,No
2319,2,1,Bund Garden Road,1,21,No,Ground,Unfurnished,4.9,Apartment,No
3125,3,2,Mahatma Gandhi Road,2,4,No,Ground,Furnished,6.8,Independent House,No
3229,1,2,Balaji Nagar,3,2,Yes,Middle,Semi-Furnished,8.0,Independent House,No
3104,1,2,Bhavani Peth,1,28,No,Middle,Unfurnished,7.6,Independent House,No
2097,4,2,Rasta Peth,3,6,Yes,Ground,Furnished,9.5,Apartment,No
3560,3,1,Wadgaon Sheri,4,9,Yes,Middle,Furnished,4.3,Villa,No
3193,2,1,Gokhale Nagar,2,28,Yes,Ground,Semi-Furnished,2.5,Apartment,No
1295,4,2,Dhayari Phata,1,17,No,Top,Furnished,5.7,Independent House,No
1551,2,2,Nana Peth,4,14,Yes,Middle,Unfurnished,1.6,Villa,Yes
2143,1,2,Shukrawar Peth,3,7,Yes,Middle,Semi-Furnished,3.2,Independent House,No
1863,2,2,Sahakar Nagar,4,22,No,Middle,Furnished,2.5,Apartment,No
2481,2,2,Navi Peth,3,19,No,Top,Furnished,4.3,Villa,No
1854,4,1,Khadaki,2,1,No,Top,Semi-Furnished,1.6,Villa,No
2163,2,1,Lulla Nagar,4,29,Yes,Middle,Semi-Furnished,0.8,Apartment,No
2029,4,1,Padmavati,2,20,No,Ground,Semi-Furnished,6.7,Independent House,Yes
2538,1,2,Sasson Road,1,25,No,Top,Unfurnished,6.3,Independent House,No
3919,4,2,Model colony,3,15,Yes,Middle,Unfurnished,7.2,Independent House,Yes
1996,4,2,Shivaji Nagar,3,18,Yes,Middle,Furnished,6.8,Apartment,No
3802,3,2,Katraj,2,3,Yes,Top,Furnished,1.6,Independent House,Yes
2737,2,1,Guruwar peth,2,18,Yes,Ground,Semi-Furnished,3.3,Villa,Yes
3796,1,1,Camp,1,2,No,Middle,Furnished,1.7,Independent House,No
1908,4,2,Narayangaon,4,10,Yes,Ground,Furnished,8.5,Independent House,Yes
1900,1,1,Ganeshkhind,3,11,No,Ground,Semi-Furnished,7.6,Villa,Yes
1806,3,1,Ghorpade Peth,3,27,Yes,Top,Unfurnished,2.4,Villa,No
3180,2,2,Shukrawar Peth,1,24,Yes,Middle,Unfurnished,3.7,Independent House,Yes
3175,4,2,Padmavati,1,3,No,Middle,Unfurnished,9.7,Villa,Yes
1472,2,2,Nagar Road,2,7,No,Ground,Furnished,6.1,Apartment,Yes
2268,3,2,Mundhawa,2,8,No,Top,Semi-Furnished,8.1,Villa,No
1782,3,2,Ambegaon Budruk,4,19,Yes,Top,Unfurnished,3.0,Apartment,No
3930,1,2,Jangali Maharaj Road,1,18,Yes,Top,Furnished,2.5,Villa,No
1209,4,1,Rasta Peth,4,13,No,Ground,Semi-Furnished,7.9,Apartment,No
1979,1,1,Budhwar Peth,1,13,No,Ground,Unfurnished,7.0,Apartment,Yes
1934,3,2,Camp,3,24,Yes,Middle,Unfurnished,7.0,Independent House,No
1148,2,1,Vishrant Wadi,1,19,No,Top,Semi-Furnished,5.8,Villa,Yes
817,1,2,Vadgaon Budruk,1,23,No,Ground,Furnished,5.9,Villa,No
3796,1,2,Nana Peth,3,12,Yes,Top,Furnished,7.5,Villa,No
1757,2,2,Dhole Patil Road,1,17,No,Ground,Unfurnished,3.1,Apartment,Yes
1183,1,2,Navi Peth,4,28,Yes,Middle,Semi-Furnished,3.9,Independent House,Yes
1163,2,1,Wadgaon Sheri,2,22,Yes,Top,Furnished,8.8,Villa,No
2498,4,2,Salunke Vihar,2,12,Yes,Ground,Semi-Furnished,3.4,Independent House,No
3945,2,1,Sahakar Nagar,4,28,No,Top,Semi-Furnished,5.7,Independent House,No
2131,4,2,Fergusson College Road,3,13,No,Ground,Unfurnished,7.2,Apartment,No
1995,2,2,Kothrud,1,25,No,Ground,Semi-Furnished,10.0,Villa,No
3804,3,2,Khadki,4,12,No,Ground,Semi-Furnished,4.6,Independent House,Yes
1636,3,1,Karve Nagar,2,19,Yes,Top,Semi-Furnished,4.6,Villa,No
2353,4,2,Katraj,2,14,Yes,Ground,Furnished,8.5,Villa,Yes
2020,4,2,Kondhwa,4,7,No,Middle,Unfurnished,8.2,Villa,No
2989,3,2,Viman Nagar,2,13,No,Top,Unfurnished,7.4,Independent House,No
1063,4,1,Kasba Peth,4,6,No,Middle,Semi-Furnished,4.9,Apartment,Yes
1791,2,1,Dapodi,2,24,No,Middle,Semi-Furnished,3.6,Apartment,No
3957,2,1,Viman Nagar,4,19,Yes,Top,Furnished,6.3,Independent House,Yes
3958,3,2,Mukund Nagar,1,19,No,Ground,Unfurnished,8.8,Villa,Yes
3684,1,1,Ambegaon Budruk,1,4,Yes,Middle,Furnished,8.9,Villa,No
2136,2,2,Narayangaon,1,19,No,Top,Unfurnished,1.5,Apartment,Yes
3499,4,1,Viman Nagar,1,9,No,Ground,Furnished,4.6,Independent House,No
3652,1,1,Bhandarkar Road,2,16,No,Top,Semi-Furnished,4.9,Independent House,No
1198,1,2,Pirangut,3,27,Yes,Top,Furnished,9.8,Apartment,No
2660,2,1,Shukrawar Peth,4,4,No,Top,Semi-Furnished,6.9,Independent House,No
501,2,2,Dapodi,3,6,Yes,Ground,Unfurnished,4.4,Independent House,No
1141,1,2,Laxmi Road,2,8,Yes,Middle,Unfurnished,0.7,Apartment,No
2767,1,1,Warje,2,27,No,Middle,Semi-Furnished,5.9,Apartment,No
2089,3,2,Kasba Peth,3,29,Yes,Top,Unfurnished,1.4,Independent House,Yes
1354,4,2,Mundhawa,3,24,Yes,Top,Furnished,8.4,Independent House,No
2259,3,1,Salunke Vihar,2,16,Yes,Ground,Semi-Furnished,7.6,Apartment,Yes
3796,2,1,Tilak Road,2,5,No,Top,Unfurnished,4.9,Apartment,No
2932,3,2,Dhayari Phata,4,21,Yes,Top,Furnished,4.6,Villa,No
3974,3,1,Deccan Gymkhana,1,22,Yes,Top,Furnished,9.0,Independent House,Yes
2161,3,2,Market yard,1,10,No,Middle,Unfurnished,3.2,Independent House,Yes
1653,3,2,Ghorpadi,4,23,No,Top,Unfurnished,2.9,Apartment,Yes
1576,4,1,Fatima Nagar,3,13,Yes,Middle,Furnished,9.4,Apartment,Yes
2207,4,1,Sahakar Nagar,2,29,Yes,Ground,Semi-Furnished,8.2,Villa,No
3277,1,1,Dapodi,3,26,Yes,Ground,Unfurnished,8.3,Villa,No
2195,2,1,Deccan Gymkhana,1,14,Yes,Middle,Unfurnished,2.4,Apartment,Yes
2233,3,2,Khadaki,1,7,No,Middle,Semi-Furnished,1.9,Independent House,No
1939,1,2,Swargate,3,29,No,Middle,Semi-Furnished,0.7,Villa,Yes
2794,1,1,Kondhwa,1,20,Yes,Middle,Unfurnished,2.8,Apartment,Yes
1335,1,1,Sinhagad Road,2,6,No,Top,Semi-Furnished,7.9,Apartment,Yes
702,4,2,Dapodi,4,7,Yes,Middle,Furnished,2.8,Apartment,Yes
3755,3,2,Sadashiv Peth,3,5,No,Middle,Furnished,7.4,Independent House,Yes
622,3,2,Bund Garden Road,2,21,No,Middle,Furnished,2.9,Apartment,No
900,2,2,Law College Road,2,18,Yes,Top,Unfurnished,4.3,Apartment,Yes
1266,3,1,Ghorpadi,1,23,Yes,Top,Semi-Furnished,9.8,Independent House,Yes
793,3,2,Yerawada,2,12,Yes,Top,Furnished,2.8,Apartment,No
2827,1,2,Aundh,3,6,Yes,Ground,Semi-Furnished,4.1,Apartment,Yes
3431,2,1,Sinhagad Road,2,27,No,Top,Furnished,3.4,Villa,Yes
697,3,2,Dhankawadi,4,1,No,Middle,Semi-Furnished,1.5,Apartment,No
3529,4,2,Koregaon Park,2,4,Yes,Top,Furnished,5.2,Independent House,No
2430,3,1,Bhandarkar Road,2,19,No,Top,Furnished,4.1,Villa,No
3299,1,1,Satara Road,4,12,No,Middle,Furnished,7.1,Apartment,No
2691,4,1,Shaniwar Peth,2,15,Yes,Top,Furnished,8.3,Independent House,No
1108,1,2,Ganeshkhind,2,3,Yes,Ground,Furnished,5.7,Apartment,Yes
3772,3,2,Camp,1,23,No,Top,Furnished,0.8,Villa,Yes
1647,4,1,Wakadewadi,3,27,Yes,Ground,Furnished,6.4,Independent House,Yes
686,2,1,Dehu Road,1,28,Yes,Ground,Furnished,1.0,Villa,No
3897,2,2,Wadgaon Sheri,3,26,No,Ground,Furnished,6.4,Independent House,No
3011,4,1,Mahatma Gandhi Road,4,20,No,Middle,Semi-Furnished,7.0,Independent House,No
3920,4,1,Ganesh Peth,4,28,Yes,Top,Semi-Furnished,2.4,Apartment,No
2294,1,1,Vishrant Wadi,4,8,No,Ground,Unfurnished,8.3,Independent House,No
1159,4,2,Ganesh Peth,3,11,Yes,Ground,Furnished,9.2,Independent House,No
3311,1,2,Ganesh Peth,3,16,Yes,Top,Semi-Furnished,8.2,Apartment,Yes
3502,3,2,Kondhwa Budruk,3,9,No,Middle,Semi-Furnished,3.4,Independent House,No
2455,1,2,Wakadewadi,4,3,No,Middle,Semi-Furnished,6.1,Independent House,Yes
2950,4,2,Law College Road,3,5,Yes,Ground,Semi-Furnished,9.2,Independent House,Yes
1869,4,2,Sinhagad Road,2,20,Yes,Middle,Semi-Furnished,3.5,Independent House,Yes
2486,3,1,Mangalwar peth,1,14,Yes,Top,Semi-Furnished,8.3,Apartment,No
2034,4,2,Anandnagar,4,28,No,Middle,Unfurnished,0.6,Apartment,No
646,4,2,Pashan,1,26,Yes,Top,Semi-Furnished,0.5,Villa,No
3719,2,1,Khadaki,2,15,No,Ground,Unfurnished,7.7,Independent House,No
3411,2,2,Dehu Road,3,6,Yes,Top,Unfurnished,7.7,Apartment,No
2234,3,2,Dapodi,1,27,No,Ground,Furnished,8.0,Independent House,Yes
2343,1,1,Hadapsar,2,26,Yes,Top,Furnished,9.3,Apartment,Yes
988,2,1,Sasson Road,2,4,No,Top,Furnished,1.6,Villa,No
3476,1,1,Law College Road,1,8,Yes,Middle,Semi-Furnished,2.7,Independent House,Yes
2459,4,2,Model colony,4,19,Yes,Top,Furnished,9.1,Villa,Yes
2163,2,1,Navi Peth,1,27,Yes,Ground,Semi-Furnished,2.2,Villa,No
3098,3,2,Anandnagar,4,5,Yes,Top,Semi-Furnished,7.0,Villa,Yes
2885,3,2,Law College Road,3,13,No,Ground,Furnished,5.5,Apartment,Yes
3419,3,2,Market yard,4,16,No,Ground,Furnished,1.3,Independent House,No
1140,2,2,Ganesh Peth,3,1,No,Top,Unfurnished,3.2,Apartment,Yes
2302,1,1,Raviwar Peth,1,13,No,Middle,Unfurnished,5.4,Apartment,No
3020,4,1,Mahatma Gandhi Road,3,22,No,Top,Semi-Furnished,8.6,Independent House,No
2469,1,2,Baner,2,11,Yes,Top,Semi-Furnished,7.2,Independent House,No
2698,1,1,Kondhwa Budruk,3,21,No,Middle,Furnished,6.4,Independent House,Yes
1938,4,2,Kondhwa Budruk,4,8,No,Ground,Furnished,5.2,Independent House,Yes
3869,4,2,Chandan Nagar,4,25,No,Top,Unfurnished,3.3,Apartment,Yes
